Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
69,Texas A&M University at College Station,Class 4,Public,8506,50227,67.1,92,80,University
82,Texas Christian University,Class 3,Private,36590,9727,40.9,87,75,University
161,Texas Tech University,None,Public,8942,32467,64.3,82,62,University
121,The Catholic University of America,Class 1,Private,38526,6838,63.2,81,67,University
61,Thomas Aquinas College,None,Private,24500,370,80.6,85,76,College
76,Transylvania University,None,Private,31560,1074,84.9,86,74,College
36,Trinity College,Class 2,Private,47510,2387,33.7,91,83,College
28,Tufts University,Class 1,Private,46598,10837,21.4,96,92,University
52,Tulane University,Class 2,Private,46930,13486,27.3,90,75,University
41,Union College,Class 3,Private,46785,2241,38.2,93,83,College
25,United States Air Force Academy,None,Private,0,4120,9.9,90,80,College
17,United States Military Academy,None,Private,0,4592,9,94,83,College
12,United States Naval Academy,None,Private,0,4536,6.8,97,87,College
128,University at Albany at SUNY,None,Public,8140,17316,55.5,85,64,University
109,University at Buffalo at SUNY,None,Public,7989,28952,56.9,88,70,University
86,University of Alabama,Class 2,Public,9200,33503,53.1,85,67,University
152,University of Alabama at Birmingham,None,Public,8904,17999,73.4,80,48,University
181,University of Alabama at Huntsville,None,Public,9192,7636,77.7,77,47,University
119,University of Arizona,Class 2,Public,10391,40223,76.9,78,61,University
128,University of Arkansas,None,Public,7818,24537,63.5,83,60,University
20,University of California at Berkeley,Class 1,Public,12864,35899,18,97,91,University
39,University of California at Davis,None,Public,13896,32354,45.7,92,85,University
49,University of California at Irvine,None,Public,14688,27479,42.4,94,86,University
23,University of California at Los Angeles,None,Public,12696,41341,22,97,92,University
112,University of California at Riverside,None,Public,12960,21005,62.7,87,70,University
39,University of California at San Diego,None,Public,13234,28294,37.8,95,86,University
41,University of California at Santa Barbara,None,Public,13746,21927,44,91,86,University
86,University of California at Santa Cruz,None,Public,13416,17404,60.9,90,77,University
170,University of Central Florida,None,Public,6317,59767,46.2,87,65,University
5,University of Chicago,Class 1,Private,46386,12508,13.2,99,92,University
135,University of Cincinnati,Class 2,Public,10784,31798,67.1,85,62,University
86,University of Colorado at Boulder,Class 1,Public,10240,31725,83.6,84,68,University
190,University of Colorado at Denver,None,Public,7494,22396,75.9,73,45,University
57,University of Connecticut,None,Public,12022,25483,44.7,93,82,University
112,University of Dayton,None,Private,35800,11159,55.2,87,78,University
75,University of Delaware,None,Public,12112,21081,56.6,92,80,University
91,University of Denver,Class 2,Private,40707,11656,67.6,87,76,University
49,University of Florida,Class 3,Public,6263,49913,44.1,96,85,University
60,University of Georgia,Class 2,Public,10262,34519,56.1,94,82,University
158,University of Hawaii at Manoa,None,Public,9904,20426,81.2,79,56,University
190,University of Houston,None,Public,10272,40747,56.2,81,46,University
161,University of Idaho,Class 2,Public,6524,12420,65.7,79,56,University
128,University of Illinois at Chicago,None,Public,13406,27875,63.9,80,58,University
41,University of Illinois at Urbana-Champaign,Class 1,Public,15258,44520,63.3,94,84,University
73,University of Iowa,Class 1,Public,8061,30119,78.4,85,70,University
101,University of Kansas,Class 1,Public,10107,27135,92.3,79,64,University
119,University of Kentucky,Class 2,Public,10110,28034,67.3,81,58,University
161,University of La Verne,None,Private,35000,4973,39,83,59,University
161,University of Louisville,None,Public,9750,21242,76.3,78,52,University
167,University of Maine,Class 2,Public,10594,10901,81.1,78,59,University
158,University of Maryland at Baltimore County,None,Public,10068,13637,60.4,85,61,University
62,University of Maryland at College Park,None,Public,9162,37197,46.8,94,82,University
91,University of Massachusetts at Amherst,None,Public,13258,28236,62.6,88,70,University
158,University of Massachusetts at LowellLowell,None,Public,12097,16294,65.8,80,54,University
47,University of Miami,None,Private,42852,16172,39.7,91,81,University
28,University of Michigan at Ann Arbor,Class 1,Public,13819,43426,36.6,96,91,University
